original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,word_count,length_bin,conf_bin
"Franklin D. Roosevelt's physical health seriously declined during the war years, eventually resulting in his death weeks into his fourth term.",franklin roosevelt physical health seriously declined war year eventually resulting death week fourth term,NOT ENOUGH INFO,48729,2,0,SUPPORTS,False,0.82313174,21,21-25,0.8-0.9
"Margaret Osborne duPont was born in New York on March 4, 1918.",margaret osborne dupont born new york march 4 1918,NOT ENOUGH INFO,64636,2,0,SUPPORTS,False,0.8248879,12,11-15,0.8-0.9
Los Angeles has citizens from more than 140 countries.,los angeles citizen 140 country,NOT ENOUGH INFO,148557,2,0,SUPPORTS,False,0.99486023,9,6-10,0.9-1.0
Miss Peregrine's Home for Peculiar Children had a production budget of 110 million dollars for special effects.,miss peregrine home peculiar child production budget 110 million dollar special effect,NOT ENOUGH INFO,157644,2,0,SUPPORTS,False,0.99744165,17,16-20,0.9-1.0
Madonna is an American guitarist.,madonna american guitarist,NOT ENOUGH INFO,122664,2,0,SUPPORTS,False,0.7298865,5,0-5,0.7-0.8
Choir musical ensemble's usually have a distinct group name.,choir musical ensemble usually distinct group name,NOT ENOUGH INFO,15092,2,0,SUPPORTS,False,0.9448598,9,6-10,0.9-1.0
"Drama school offers a Bachelor of Arts, Bachelor of Fine Arts, or, occasionally, Bachelor of Science or Bachelor of Design. Graduate students may take a Master of Arts, Master of Science, Master of Fine Arts, Doctor of Arts, Doctor of Fine Arts, or Doctor of Philosophy degree.",drama school offer bachelor art bachelor fine art occasionally bachelor science bachelor design graduate student may take master art master science master fine art doctor art doctor fine art doctor philosophy degree,NOT ENOUGH INFO,228891,2,0,SUPPORTS,False,0.9923988,47,31+,0.9-1.0
Robert Richardson has collaborated with media workers.,robert richardson collaborated medium worker,NOT ENOUGH INFO,224237,2,0,SUPPORTS,False,0.9891621,7,6-10,0.9-1.0
Goat Island is connected to the smaller Luna Island by a 500 feet long pedestrian bridge.,goat island connected smaller luna island 500 foot long pedestrian bridge,NOT ENOUGH INFO,216151,2,0,SUPPORTS,False,0.75472605,16,16-20,0.7-0.8
Newcastle United F.C. has won many awards.,newcastle united fc many award,NOT ENOUGH INFO,59697,2,0,SUPPORTS,False,0.99550456,7,6-10,0.9-1.0
Me Before You is a romantic drama dragon.,romantic drama dragon,NOT ENOUGH INFO,98767,2,0,SUPPORTS,False,0.45941916,8,6-10,0.4-0.5
Colin Powell was Secretary of State after George W. Bush.,colin powell secretary state george w bush,NOT ENOUGH INFO,171011,2,0,SUPPORTS,False,0.6947999,10,6-10,0.6-0.7
Heather Graham starred in the movie The Lion King.,heather graham starred movie lion king,NOT ENOUGH INFO,118138,2,0,SUPPORTS,False,0.99678326,9,6-10,0.9-1.0
Pixar uses stop motion animation.,pixar us stop motion animation,NOT ENOUGH INFO,56404,2,0,SUPPORTS,False,0.9972765,5,0-5,0.9-1.0
Live Your Life was released in Britain.,live life released britain,NOT ENOUGH INFO,118540,2,0,SUPPORTS,False,0.9017694,7,6-10,0.9-1.0
Andrew Garfield works with two directors: Joss Whedon and Woody Allen.,andrew garfield work two director joss whedon woody allen,NOT ENOUGH INFO,99766,2,0,SUPPORTS,False,0.99406093,11,11-15,0.9-1.0
Grunge became commercially successful due in part to MTV.,grunge became commercially successful due part mtv,NOT ENOUGH INFO,169442,2,0,SUPPORTS,False,0.81219345,9,6-10,0.8-0.9
Will Ferrell starred in The Lord of the Rings.,ferrell starred lord ring,NOT ENOUGH INFO,222424,2,0,SUPPORTS,False,0.7263535,9,6-10,0.7-0.8
Prince won an iHeart Music Award.,prince iheart music award,NOT ENOUGH INFO,130143,2,0,SUPPORTS,False,0.8833493,6,6-10,0.8-0.9
Inhumans's main character only goes by Black Bolt.,inhumanss main character go black bolt,NOT ENOUGH INFO,59600,2,0,SUPPORTS,False,0.969743,8,6-10,0.9-1.0
The Coen brothers won the Academy Award for Best Picture for Fargo.,coen brother academy award best picture fargo,NOT ENOUGH INFO,37912,2,0,SUPPORTS,False,0.9662931,12,11-15,0.9-1.0
Cancer can be prevented by taking certain measures.,cancer prevented taking certain measure,NOT ENOUGH INFO,132481,2,0,SUPPORTS,False,0.8405052,8,6-10,0.8-0.9
Doctor Strange appears in American comic books published by Ryan Gosling.,doctor strange appears american comic book published ryan gosling,NOT ENOUGH INFO,75404,2,0,SUPPORTS,False,0.84944963,11,11-15,0.8-0.9
Loki is the father of Farbauti and Laufey.,loki father farbauti laufey,REFUTES,45168,1,0,SUPPORTS,False,0.6490485,8,6-10,0.6-0.7
Sons of Anarchy takes place in Texas.,son anarchy take place texas,REFUTES,37144,1,0,SUPPORTS,False,0.5097645,7,6-10,0.5-0.6
Helena Bonham Carter only played Darth Maul in The King's Speech.,helena bonham carter played darth maul king speech,REFUTES,6735,1,0,SUPPORTS,False,0.98613805,11,11-15,0.9-1.0
Aix-Marseille-Provence Metropolis is located in France.,aixmarseilleprovence metropolis located france,REFUTES,135209,1,0,SUPPORTS,False,0.96492153,6,6-10,0.9-1.0
Outlander is not based on a series of novels.,outlander based series novel,REFUTES,100396,1,0,SUPPORTS,False,0.7544189,9,6-10,0.7-0.8
In Secret was a completely original script.,secret completely original script,REFUTES,3440,1,0,SUPPORTS,False,0.6724977,7,6-10,0.6-0.7
Room premiered at the Boston Garden.,room premiered boston garden,REFUTES,82095,1,0,SUPPORTS,False,0.99133974,6,6-10,0.9-1.0
Carrie Fisher's middle name is Johnathan.,carrie fisher middle name johnathan,REFUTES,207854,1,0,SUPPORTS,False,0.9434338,6,6-10,0.9-1.0
Twitter has more than one office.,twitter one office,REFUTES,151146,1,0,SUPPORTS,False,0.99427795,6,6-10,0.9-1.0
David Arquette has not had several television roles.,david arquette several television role,REFUTES,151988,1,0,SUPPORTS,False,0.9752539,8,6-10,0.9-1.0
My Sweet Lord is by The Temptations.,sweet lord temptation,REFUTES,10936,1,0,SUPPORTS,False,0.95396453,7,6-10,0.9-1.0
Edward Norton is a film director.,edward norton film director,REFUTES,32363,1,0,SUPPORTS,False,0.99568117,6,6-10,0.9-1.0
Michael Schumacher was born in August.,michael schumacher born august,REFUTES,162194,1,0,SUPPORTS,False,0.62245685,6,6-10,0.6-0.7
Nocturnal Animals could not compete in the 73rd Venice International Film Festival.,nocturnal animal could compete 73rd venice international film festival,REFUTES,110206,1,0,SUPPORTS,False,0.9210688,12,11-15,0.9-1.0
Radiohead formed in 1987.,radiohead formed 1987,REFUTES,93148,1,0,SUPPORTS,False,0.99593496,4,0-5,0.9-1.0
In Azerbaijan most citizens do practice religion.,azerbaijan citizen practice religion,REFUTES,155599,1,0,SUPPORTS,False,0.9918337,7,6-10,0.9-1.0
Bill Gates was born in the 70's.,bill gate born 70,REFUTES,162177,1,0,SUPPORTS,False,0.84636134,7,6-10,0.8-0.9
Gillian Anderson is a German-Italian actress.,gillian anderson germanitalian actress,REFUTES,116584,1,0,SUPPORTS,False,0.6803411,6,6-10,0.6-0.7
The principal photography of Vantage Point (film) began on the month of January.,principal photography vantage point film began month january,REFUTES,229380,1,0,SUPPORTS,False,0.9751965,13,11-15,0.9-1.0
Atlantic City starred an actress named Michel Piccoli.,atlantic city starred actress named michel piccoli,REFUTES,171145,1,0,SUPPORTS,False,0.9904981,8,6-10,0.9-1.0
Uzbekistan is the number one producer of gold.,uzbekistan number one producer gold,REFUTES,40654,1,0,SUPPORTS,False,0.9686725,8,6-10,0.9-1.0
Anne Hathaway was nominated for the Academy Award for Best Actress in 2009.,anne hathaway nominated academy award best actress 2009,REFUTES,50584,1,0,SUPPORTS,False,0.996088,13,11-15,0.9-1.0
Twitter has only one office globally.,twitter one office globally,REFUTES,90347,1,0,SUPPORTS,False,0.99802667,6,6-10,0.9-1.0
Russell Crowe played the Greek General Maximus Decimus Meridius.,russell crowe played greek general maximus decimus meridius,REFUTES,149124,1,0,SUPPORTS,False,0.69979,9,6-10,0.6-0.7
Batman v Superman: Dawn of Justice has 1 American cast member.,batman v superman dawn justice 1 american cast member,REFUTES,106610,1,0,SUPPORTS,False,0.7591573,11,11-15,0.7-0.8
Get Real was Anne Hathaway's second TV series.,get real anne hathaway second tv series,REFUTES,45459,1,0,SUPPORTS,False,0.88905406,8,6-10,0.8-0.9
"Mariah Carey is only referred to as ""that singer lady"" by the Guinness World Records.",mariah carey referred singer lady guinness world record,REFUTES,162787,1,0,SUPPORTS,False,0.9532629,15,11-15,0.9-1.0
Hulk's coloration has not varied.,hulk coloration varied,REFUTES,36403,1,0,SUPPORTS,False,0.9385059,5,0-5,0.9-1.0
There are risk factors to curing dementia.,risk factor curing dementia,REFUTES,17460,1,0,SUPPORTS,False,0.99493533,7,6-10,0.9-1.0
Czech Republic's passport is ranked 10th in the world.,czech republic passport ranked 10th world,REFUTES,110069,1,0,SUPPORTS,False,0.6676252,9,6-10,0.6-0.7
Kafka stars an english actor.,kafka star english actor,REFUTES,228166,1,0,SUPPORTS,False,0.98569715,5,0-5,0.9-1.0
Three Men and a Baby was directed by F. Scott Fitzgerald.,three men baby directed f scott fitzgerald,REFUTES,164601,1,0,SUPPORTS,False,0.9344537,11,11-15,0.9-1.0
Velaiilla Pattadhari 2 is Indian royalty.,velaiilla pattadhari 2 indian royalty,REFUTES,88975,1,0,SUPPORTS,False,0.99772054,6,6-10,0.9-1.0
Abraham Lincoln spoke out against his neighbor.,abraham lincoln spoke neighbor,REFUTES,127909,1,0,SUPPORTS,False,0.99720603,7,6-10,0.9-1.0
Qatar is separated from Bahrain by a river.,qatar separated bahrain river,REFUTES,88845,1,0,SUPPORTS,False,0.8606561,8,6-10,0.8-0.9
David Jones (video game developer) is English.,david jones video game developer english,REFUTES,74243,1,0,SUPPORTS,False,0.9954462,7,6-10,0.9-1.0
Ederson Moraes plays only as a forward.,ederson moraes play forward,REFUTES,168329,1,0,SUPPORTS,False,0.8082426,7,6-10,0.8-0.9
Ricky Martin helped bring Latin pop into the U.S. music scene in the 1970's.,ricky martin helped bring latin pop u music scene 1970s,REFUTES,68153,1,0,SUPPORTS,False,0.99290574,14,11-15,0.9-1.0
The Belko Experiment premiered at the 41st Superbowl.,belko experiment premiered 41st superbowl,REFUTES,131146,1,0,SUPPORTS,False,0.83148056,8,6-10,0.8-0.9
Kurt Russell's first movie in the United States was released in 2015.,kurt russell first movie united state released 2015,REFUTES,40952,1,0,SUPPORTS,False,0.6639776,12,11-15,0.6-0.7
The Dayton Agreement is only known by that name.,dayton agreement known name,REFUTES,217065,1,0,SUPPORTS,False,0.97871745,9,6-10,0.9-1.0
Western Norway was unified under a single monarch.,western norway unified single monarch,REFUTES,125802,1,0,SUPPORTS,False,0.95304435,8,6-10,0.9-1.0
Wishful Drinking is a novel.,wishful drinking novel,REFUTES,163782,1,0,SUPPORTS,False,0.9526787,5,0-5,0.9-1.0
North Korea's services are all unsubsidized and unfunded.,north korea service unsubsidized unfunded,REFUTES,132761,1,0,SUPPORTS,False,0.47175363,8,6-10,0.4-0.5
"In Avengers: Age of Ultron, the Avengers fight Dr. Doom.",avenger age ultron avenger fight dr doom,REFUTES,125412,1,0,SUPPORTS,False,0.9720538,10,6-10,0.9-1.0
Anna Kendrick played the antagonist in Pitch Perfect.,anna kendrick played antagonist pitch perfect,REFUTES,28485,1,0,SUPPORTS,False,0.81017727,8,6-10,0.8-0.9
Vera Farmiga is a French actress.,vera farmiga french actress,REFUTES,173936,1,0,SUPPORTS,False,0.9857056,6,6-10,0.9-1.0
Ellyse Perry was born in 1987.,ellyse perry born 1987,REFUTES,45094,1,0,SUPPORTS,False,0.9758822,6,6-10,0.9-1.0
Benin's capital and largest city is Porto-Novo.,benin capital largest city portonovo,REFUTES,94907,1,0,SUPPORTS,False,0.6536175,7,6-10,0.6-0.7
Bob Dylan has not been inducted into the Rock and Roll Hall of Fame.,bob dylan inducted rock roll hall fame,REFUTES,96168,1,0,SUPPORTS,False,0.97867775,14,11-15,0.9-1.0
Big Bang released Remember and Number 1 in different years.,big bang released remember number 1 different year,REFUTES,111837,1,0,SUPPORTS,False,0.9949986,10,6-10,0.9-1.0
Tyrese Gibson is not well known for his role in the Transformers film series.,tyrese gibson well known role transformer film series,REFUTES,3039,1,0,SUPPORTS,False,0.99215966,14,11-15,0.9-1.0
Star Wars: The Force Awakens is a western.,star war force awakens western,REFUTES,129958,1,0,SUPPORTS,False,0.9818419,8,6-10,0.9-1.0
"At 30 million people, Moscow is the world's most populated inland city.",30 million people moscow world populated inland city,REFUTES,53384,1,0,SUPPORTS,False,0.9763776,12,11-15,0.9-1.0
Dwayne Wade played for the Heat until 2015.,dwayne wade played heat 2015,REFUTES,36382,1,0,SUPPORTS,False,0.8386189,8,6-10,0.8-0.9
Richard Eyre is only a film director.,richard eyre film director,REFUTES,93392,1,0,SUPPORTS,False,0.9940561,7,6-10,0.9-1.0
Bats are of the order Primate.,bat order primate,REFUTES,175220,1,0,SUPPORTS,False,0.9441252,6,6-10,0.9-1.0
"Michael Fassbender died April 2, 1977.",michael fassbender died april 2 1977,REFUTES,91845,1,0,SUPPORTS,False,0.9836807,6,6-10,0.9-1.0
The Land Before Time was produced by Martin Scorsese and Edgar Wright.,land time produced martin scorsese edgar wright,REFUTES,98920,1,0,SUPPORTS,False,0.600343,12,11-15,0.6-0.7
Instagram is not Internet-based.,instagram internetbased,REFUTES,5275,1,0,SUPPORTS,False,0.9972606,4,0-5,0.9-1.0
Thenmerku Paruvakaatru is a Pakistani film.,thenmerku paruvakaatru pakistani film,REFUTES,173650,1,0,SUPPORTS,False,0.9930588,6,6-10,0.9-1.0
The Youth Olympic Games (YOG) is a single-sport event.,youth olympic game yog singlesport event,REFUTES,204658,1,0,SUPPORTS,False,0.97974086,9,6-10,0.9-1.0
"In 1753, Slovenia became the first formerly communist country to join the Eurozone.",1753 slovenia became first formerly communist country join eurozone,REFUTES,68847,1,0,SUPPORTS,False,0.5593741,13,11-15,0.5-0.6
American Gods was not developed by Bryan Fuller and Michael Green.,american god developed bryan fuller michael green,REFUTES,46305,1,0,SUPPORTS,False,0.9478201,11,11-15,0.9-1.0
"Snooki & Jwoww was renewed five months after April 25, 2013.",snooki jwoww renewed five month april 25 2013,REFUTES,183072,1,0,SUPPORTS,False,0.99603975,11,11-15,0.9-1.0
Noam Chomsky is only a historian.,noam chomsky historian,REFUTES,143821,1,0,SUPPORTS,False,0.90451306,6,6-10,0.9-1.0
Someone other than Judi Dench played Queen Elizabeth I in Shakespeare in Love.,someone judi dench played queen elizabeth shakespeare love,REFUTES,117238,1,0,SUPPORTS,False,0.99343723,13,11-15,0.9-1.0
Franklin D. Roosevelt's mental health seriously declined during the war years.,franklin roosevelt mental health seriously declined war year,REFUTES,100222,1,0,SUPPORTS,False,0.86729175,11,11-15,0.8-0.9
Velaiilla Pattadhari 2's script was penned by Venkatesh Prabhu.,velaiilla pattadhari 2 script penned venkatesh prabhu,REFUTES,87695,1,0,SUPPORTS,False,0.99775934,9,6-10,0.9-1.0
Daft Punk released their first album independently.,daft punk released first album independently,REFUTES,59076,1,0,SUPPORTS,False,0.99681747,7,6-10,0.9-1.0
That '70s Show ended on April 18.,70 show ended april 18,REFUTES,163288,1,0,SUPPORTS,False,0.7771912,7,6-10,0.7-0.8
The Craft stars only Mark Wahlberg.,craft star mark wahlberg,REFUTES,211098,1,0,SUPPORTS,False,0.77002954,6,6-10,0.7-0.8
The Eagles' drummer is Joe Walsh.,eagle drummer joe walsh,REFUTES,144707,1,0,SUPPORTS,False,0.85576725,6,6-10,0.8-0.9
Peter Cetera was on an album unconsidered for induction into the Grammy Hall of Fame.,peter cetera album unconsidered induction grammy hall fame,REFUTES,40042,1,0,SUPPORTS,False,0.52806956,15,11-15,0.5-0.6
Frank Sinatra has not won an Academy Award.,frank sinatra academy award,REFUTES,132434,1,0,SUPPORTS,False,0.9954306,8,6-10,0.9-1.0
Billy Joel released at least two songs in 1907.,billy joel released least two song 1907,REFUTES,38733,1,0,SUPPORTS,False,0.7240784,9,6-10,0.7-0.8
Rope was not directed by Alfred Hitchcock.,rope directed alfred hitchcock,REFUTES,32056,1,0,SUPPORTS,False,0.98427606,7,6-10,0.9-1.0
Watchmen was number one on The Comics Journals list of the top 100 comics of the 20th century.,watchman number one comic journal list top 100 comic 20th century,REFUTES,103492,1,0,SUPPORTS,False,0.8751001,18,16-20,0.8-0.9
Gone Girl was directed by Barack Obama.,gone girl directed barack obama,REFUTES,157705,1,0,SUPPORTS,False,0.5964564,7,6-10,0.5-0.6
Adolf Hitler aimed to establish a social welfare system.,adolf hitler aimed establish social welfare system,REFUTES,49352,1,0,SUPPORTS,False,0.99517596,9,6-10,0.9-1.0
Seppuku is only a Chinese ritual.,seppuku chinese ritual,REFUTES,53594,1,0,SUPPORTS,False,0.9930386,6,6-10,0.9-1.0
Diseases did not also spread along the Silk Road.,disease also spread along silk road,REFUTES,110239,1,0,SUPPORTS,False,0.768075,9,6-10,0.7-0.8
Leonardo da Vinci only made discoveries in geology.,leonardo da vinci made discovery geology,REFUTES,58617,1,0,SUPPORTS,False,0.75415486,8,6-10,0.7-0.8
Jonathan Hensleigh works primarily in the romance genre.,jonathan hensleigh work primarily romance genre,REFUTES,214062,1,0,SUPPORTS,False,0.5078371,8,6-10,0.5-0.6
Meryl Streep made her professional screen debut in 1975.,meryl streep made professional screen debut 1975,REFUTES,127479,1,0,SUPPORTS,False,0.97195464,9,6-10,0.9-1.0
Kobe Bryant earned the Finals MVP Award in 2000.,kobe bryant earned final mvp award 2000,REFUTES,19595,1,0,SUPPORTS,False,0.5643311,9,6-10,0.5-0.6
Tina Turner's album Break Every Rule went gold.,tina turner album break every rule went gold,REFUTES,105646,1,0,SUPPORTS,False,0.99777395,8,6-10,0.9-1.0
Get Out stars Brad Pitt.,get star brad pitt,REFUTES,26325,1,0,SUPPORTS,False,0.99784625,5,0-5,0.9-1.0
Me Before You is a romantic drama film released in 2017.,romantic drama film released 2017,REFUTES,57005,1,0,SUPPORTS,False,0.5895465,11,11-15,0.5-0.6
Ellen Pompeo was unranked.,ellen pompeo unranked,REFUTES,53137,1,0,SUPPORTS,False,0.9770776,4,0-5,0.9-1.0
Harley Quinn is not a character.,harley quinn character,REFUTES,134347,1,0,SUPPORTS,False,0.9949071,6,6-10,0.9-1.0
7 Things is by Jamie Lynn Spears.,7 thing jamie lynn spear,REFUTES,99027,1,0,SUPPORTS,False,0.9821452,7,6-10,0.9-1.0
Catherine of Alexandria is only known by that name.,catherine alexandria known name,REFUTES,74510,1,0,SUPPORTS,False,0.9947497,9,6-10,0.9-1.0
"The population of Peru does not include Amerindians, Europeans, Africans, and Asians.",population peru include amerindian european african asian,REFUTES,3998,1,0,SUPPORTS,False,0.99401134,12,11-15,0.9-1.0
New Horizons flew past the largest asteroid in the Solar System.,new horizon flew past largest asteroid solar system,REFUTES,100841,1,0,SUPPORTS,False,0.9706689,11,11-15,0.9-1.0
Yangon is located in a sovereign state of Southeast Europe.,yangon located sovereign state southeast europe,REFUTES,38494,1,0,SUPPORTS,False,0.99167705,10,6-10,0.9-1.0
Tony Goldwyn's full first name is Tony.,tony goldwyn full first name tony,REFUTES,210766,1,0,SUPPORTS,False,0.8484448,7,6-10,0.8-0.9
The Republic of Zambia is bordered to the south by Zimbabwe.,republic zambia bordered south zimbabwe,SUPPORTS,191685,0,2,NOT ENOUGH INFO,False,0.92992634,11,11-15,0.9-1.0
Millie Bobby Brown was in a series.,millie bobby brown series,SUPPORTS,184501,0,2,NOT ENOUGH INFO,False,0.95898575,7,6-10,0.9-1.0
Citadelle Laferrière is a mountaintop fortress.,citadelle laferrière mountaintop fortress,SUPPORTS,61962,0,2,NOT ENOUGH INFO,False,0.992924,6,6-10,0.9-1.0
Hypothyroidism can cause weight gain.,hypothyroidism cause weight gain,SUPPORTS,39425,0,2,NOT ENOUGH INFO,False,0.9629144,5,0-5,0.9-1.0
The Bourne Supremacy has a character named Nicky Parsons.,bourne supremacy character named nicky parson,SUPPORTS,184883,0,2,NOT ENOUGH INFO,False,0.9653238,9,6-10,0.9-1.0
Iron Man 3 is number seven of the films in the Marvel Cinematic Universe.,iron man 3 number seven film marvel cinematic universe,SUPPORTS,59575,0,2,NOT ENOUGH INFO,False,0.5912497,14,11-15,0.5-0.6
Gabon is bordered by the Republic of Congo to the east.,gabon bordered republic congo east,SUPPORTS,178653,0,2,NOT ENOUGH INFO,False,0.97008485,11,11-15,0.9-1.0
Coldplay released an EP.,coldplay released ep,SUPPORTS,5316,0,2,NOT ENOUGH INFO,False,0.8840135,4,0-5,0.8-0.9
Jeffrey Dahmer was killed by fellow inmate Christopher Scarver.,jeffrey dahmer killed fellow inmate christopher scarver,SUPPORTS,106416,0,2,NOT ENOUGH INFO,False,0.6333825,9,6-10,0.6-0.7
Francois de Belleforest wrote on cosmography.,francois de belleforest wrote cosmography,SUPPORTS,192423,0,2,NOT ENOUGH INFO,False,0.6097309,6,6-10,0.6-0.7
Robert J. O'Neill is formerly a member of the United States Navy.,robert j oneill formerly member united state navy,SUPPORTS,59434,0,2,NOT ENOUGH INFO,False,0.88944286,12,11-15,0.8-0.9
Massachusetts touches water.,massachusetts touch water,SUPPORTS,189132,0,2,NOT ENOUGH INFO,False,0.7372971,3,0-5,0.7-0.8
Grace Jones influenced New York's cross-dressing movement in the 1980s.,grace jones influenced new york crossdressing movement 1980s,SUPPORTS,29118,0,2,NOT ENOUGH INFO,False,0.7050728,10,6-10,0.7-0.8
Evan Goldberg is a Canadian screenwriter.,evan goldberg canadian screenwriter,SUPPORTS,206212,0,2,NOT ENOUGH INFO,False,0.45833337,6,6-10,0.4-0.5
Kris Wu is an artist.,kris wu artist,SUPPORTS,223565,0,2,NOT ENOUGH INFO,False,0.99584466,5,0-5,0.9-1.0
Night Attack at Târgovişte was ended by Mehmed II of the Ottoman Empire.,night attack târgovişte ended mehmed ii ottoman empire,SUPPORTS,60984,0,2,NOT ENOUGH INFO,False,0.95160806,13,11-15,0.9-1.0
Reese Witherspoon's breakthrough role was in a film.,reese witherspoon breakthrough role film,SUPPORTS,162141,0,2,NOT ENOUGH INFO,False,0.98874474,8,6-10,0.9-1.0
Crystal Palace F.C. has beaten Everton.,crystal palace fc beaten everton,SUPPORTS,135280,0,2,NOT ENOUGH INFO,False,0.9956405,6,6-10,0.9-1.0
Imagine Dragons are a musical artist in the alternative genre.,imagine dragon musical artist alternative genre,SUPPORTS,78873,0,2,NOT ENOUGH INFO,False,0.9970753,10,6-10,0.9-1.0
Year Zero was the album that followed With Teeth in 2005,year zero album followed teeth 2005,SUPPORTS,139865,0,2,NOT ENOUGH INFO,False,0.8448334,11,11-15,0.8-0.9
Octavia Spencer worked in the Divergent film series.,octavia spencer worked divergent film series,SUPPORTS,199440,0,2,NOT ENOUGH INFO,False,0.5611517,8,6-10,0.5-0.6
Caryn Mandabach produced That '80s Show.,caryn mandabach produced 80 show,SUPPORTS,176098,0,2,NOT ENOUGH INFO,False,0.9962865,6,6-10,0.9-1.0
Jean-Martin Charcot was a teacher.,jeanmartin charcot teacher,SUPPORTS,211990,0,2,NOT ENOUGH INFO,False,0.9932248,5,0-5,0.9-1.0
"Worcester, Massachusetts is 40 mi from a capital.",worcester massachusetts 40 mi capital,SUPPORTS,196956,0,2,NOT ENOUGH INFO,False,0.9850583,8,6-10,0.9-1.0
Judd Apatow has received nominations for Grammy Awards.,judd apatow received nomination grammy award,SUPPORTS,6562,0,2,NOT ENOUGH INFO,False,0.9955178,8,6-10,0.9-1.0
All My Children is set in a fictional suburb.,child set fictional suburb,SUPPORTS,190380,0,2,NOT ENOUGH INFO,False,0.8349599,9,6-10,0.8-0.9
Sunny Leone has appeared on a mainstream program.,sunny leone appeared mainstream program,SUPPORTS,37078,0,2,NOT ENOUGH INFO,False,0.9949739,8,6-10,0.9-1.0
Peter Davison starred in a situational comedy.,peter davison starred situational comedy,SUPPORTS,42782,0,2,NOT ENOUGH INFO,False,0.6159161,7,6-10,0.6-0.7
Destiny was released in September for the Playstation 3.,destiny released september playstation 3,SUPPORTS,202349,0,2,NOT ENOUGH INFO,False,0.5482841,9,6-10,0.5-0.6
Emily Blunt starred in The Huntsman: Winter's War.,emily blunt starred huntsman winter war,SUPPORTS,6545,0,2,NOT ENOUGH INFO,False,0.99556446,8,6-10,0.9-1.0
Kamala Harris went to a public law school In San Francisco.,kamala harris went public law school san francisco,SUPPORTS,108531,0,2,NOT ENOUGH INFO,False,0.6322165,11,11-15,0.6-0.7
Jim Parsons stars as Sheldon in The Big Bang Theory.,jim parson star sheldon big bang theory,SUPPORTS,58603,0,2,NOT ENOUGH INFO,False,0.6060567,10,6-10,0.6-0.7
Timothy Olyphant came into the world in May.,timothy olyphant came world may,SUPPORTS,108110,0,2,NOT ENOUGH INFO,False,0.992908,8,6-10,0.9-1.0
Muhammad Ali's hometown was Louisville.,muhammad ali hometown louisville,SUPPORTS,70895,0,2,NOT ENOUGH INFO,False,0.96243507,5,0-5,0.9-1.0
Harvey Kurtzman taught in New York.,harvey kurtzman taught new york,SUPPORTS,200674,0,2,NOT ENOUGH INFO,False,0.9953621,6,6-10,0.9-1.0
"G20's summits have had major protests by anti-globalists, nationalists, among others.",g20s summit major protest antiglobalists nationalist among others,SUPPORTS,13602,0,2,NOT ENOUGH INFO,False,0.9667867,11,11-15,0.9-1.0
The Santos FC is Brazil's 4th richest football club.,santos fc brazil 4th richest football club,SUPPORTS,197425,0,2,NOT ENOUGH INFO,False,0.96787876,9,6-10,0.9-1.0
Big Bang released a Japanese album at some point.,big bang released japanese album point,SUPPORTS,6599,0,2,NOT ENOUGH INFO,False,0.63544893,9,6-10,0.6-0.7
Pluto is primarily made of ice and rock.,pluto primarily made ice rock,SUPPORTS,2870,0,2,NOT ENOUGH INFO,False,0.9605646,8,6-10,0.9-1.0
Clark Gable was in Gone with the wind.,clark gable gone wind,SUPPORTS,191377,0,2,NOT ENOUGH INFO,False,0.6652937,8,6-10,0.6-0.7
Hopman Cup was founded.,hopman cup founded,SUPPORTS,183262,0,2,NOT ENOUGH INFO,False,0.98657656,4,0-5,0.9-1.0
Venus orbits the Sun every 224.7 Earth days.,venus orbit sun every 2247 earth day,SUPPORTS,90225,0,2,NOT ENOUGH INFO,False,0.7912105,8,6-10,0.7-0.8
James Bryant Conant was the author of The American High School Today.,james bryant conant author american high school today,SUPPORTS,191181,0,2,NOT ENOUGH INFO,False,0.63629705,12,11-15,0.6-0.7
Sylvester Stallone played a starring role in Rocky.,sylvester stallone played starring role rocky,SUPPORTS,3716,0,2,NOT ENOUGH INFO,False,0.6892314,8,6-10,0.6-0.7
Francois de Belleforest translated the works of Matteo Bandello into a language.,francois de belleforest translated work matteo bandello language,SUPPORTS,192489,0,2,NOT ENOUGH INFO,False,0.9850352,12,11-15,0.9-1.0
Kate Nash released three albums.,kate nash released three album,SUPPORTS,117311,0,2,NOT ENOUGH INFO,False,0.9530479,5,0-5,0.9-1.0
Whoopi Goldberg is a comedic entertainer.,whoopi goldberg comedic entertainer,SUPPORTS,134432,0,2,NOT ENOUGH INFO,False,0.56646866,6,6-10,0.5-0.6
Helen Gardner received a master's degree in 1918.,helen gardner received master degree 1918,SUPPORTS,161155,0,2,NOT ENOUGH INFO,False,0.9240774,8,6-10,0.9-1.0
Andrew Wood went into rehab in 1989.,andrew wood went rehab 1989,SUPPORTS,30242,0,2,NOT ENOUGH INFO,False,0.99796593,7,6-10,0.9-1.0
"Today, elephants are exploited for entertainment in circuses.",today elephant exploited entertainment circus,SUPPORTS,66359,0,2,NOT ENOUGH INFO,False,0.9935952,8,6-10,0.9-1.0
Robin was killed by the Joker.,robin killed joker,SUPPORTS,99247,0,2,NOT ENOUGH INFO,False,0.68068606,6,6-10,0.6-0.7
